name,wins,losses,winPercentage,gamesBehind,pointsPerGame,pointsAllowedPerGame,
Milwaukee Bucks (1) ,53,9,0.855,—,119.1,106.7,
Toronto Raptors (2) ,43,18,0.705,9.5,113,106.6,
Boston Celtics (3) ,42,19,0.689,10.5,113.4,106.9,
Miami Heat (4) ,40,22,0.645,13,112.7,109.2,
Philadelphia 76ers (5) ,37,25,0.597,16,109,107.2,
Indiana Pacers (5) ,37,25,0.597,16,109.3,107.4,
Brooklyn Nets (7) ,27,34,0.443,25.5,110.4,111.5,
Orlando Magic (8) ,27,35,0.435,26,105.4,107.1,
Washington Wizards (9) ,22,39,0.361,30.5,115.9,120.2,
Charlotte Hornets (10) ,21,40,0.344,31.5,102,109.4,
Chicago Bulls (11) ,21,41,0.339,32,106.9,110.1,
Detroit Pistons (12) ,20,43,0.317,33.5,107.7,110.8,
New York Knicks (13) ,19,43,0.306,34,105.4,112,
Atlanta Hawks (14) ,19,44,0.302,34.5,111.1,119.2,
Cleveland Cavaliers (15) ,17,45,0.274,36,106.6,114.9,
Los Angeles Lakers (1) ,47,13,0.783,—,114.6,107.1,
Los Angeles Clippers (2) ,42,19,0.689,5.5,116.1,109.8,
Denver Nuggets (3) ,41,20,0.672,6.5,110.7,107.5,
Houston Rockets (4) ,39,21,0.65,8,118.9,114.3,
Utah Jazz (5) ,39,22,0.639,8.5,111.5,108.2,
Oklahoma City Thunder (6) ,38,24,0.613,10,110.6,108.5,
Dallas Mavericks (7) ,38,25,0.603,10.5,116.6,110.6,
Memphis Grizzlies (8) ,31,31,0.5,17,112.8,113.7,
Portland Trail Blazers (9) ,28,35,0.444,20.5,113.5,115.1,
Sacramento Kings (10) ,27,34,0.443,20.5,108.7,110.6,
San Antonio Spurs (11) ,26,34,0.433,21,112.7,114.3,
New Orleans Pelicans (12) ,26,36,0.419,22,116.2,117.4,
Phoenix Suns (13) ,24,38,0.387,24,112,113.5,
Minnesota Timberwolves (14) ,19,42,0.311,28.5,113.3,117.3,
Golden State Warriors (15) ,14,48,0.226,34,106,114.7,
